id,name,psc,latitude,longitude,location,country
5078,Škrdlovice,59101,49.634772,15.926038,SRID=4326;POINT (49.634772 15.926038),CZ
5079,Škvorec,25083,50.046972,14.730519,SRID=4326;POINT (50.046972 14.730519),CZ
5080,Škvořetice,38801,49.402515,13.949224,SRID=4326;POINT (49.402515 13.949224),CZ
5081,Šlapanice,66451,49.168729,16.727418,SRID=4326;POINT (49.168729 16.727418),CZ
5082,Šlapanice,27372,50.314773,14.111319,SRID=4326;POINT (50.314773 14.111319),CZ
5083,Šlapanov,58251,49.542525,15.657789,SRID=4326;POINT (49.542525 15.657789),CZ
5084,Šléglov,78825,50.153075,16.982641,SRID=4326;POINT (50.153075 16.982641),CZ
5085,Šluknov,40777,51.003793,14.452699,SRID=4326;POINT (51.003793 14.452699),CZ
5086,Šonov,54971,50.590932,16.401645,SRID=4326;POINT (50.590932 16.401645),CZ
5087,Šošůvka,67913,49.410633,16.751985,SRID=4326;POINT (49.410633 16.751985),CZ
5088,Špičky,75366,49.548258,17.807885,SRID=4326;POINT (49.548258 17.807885),CZ
5089,Špindlerův Mlýn,54351,50.72625,15.609549,SRID=4326;POINT (50.726250 15.609549),CZ
5090,Štáblovice,74782,49.880131,17.818639,SRID=4326;POINT (49.880131 17.818639),CZ
5091,Šťáhlavy,33203,49.675659,13.504047,SRID=4326;POINT (49.675659 13.504047),CZ
5092,Štarnov,78314,49.686232,17.272686,SRID=4326;POINT (49.686232 17.272686),CZ
5093,Štědrá,36452,50.058313,13.114279,SRID=4326;POINT (50.058313 13.114279),CZ
5094,Štěchov,67971,49.452359,16.506182,SRID=4326;POINT (49.452359 16.506182),CZ
5095,Štěchovice,38716,49.255508,13.765623,SRID=4326;POINT (49.255508 13.765623),CZ
5096,Štěchovice,25207,49.851197,14.405534,SRID=4326;POINT (49.851197 14.405534),CZ
5097,Štěkeň,38751,49.267249,14.005988,SRID=4326;POINT (49.267249 14.005988),CZ
5098,Štěměchy,67527,49.193393,15.714768,SRID=4326;POINT (49.193393 15.714768),CZ
5099,Štěnovice,33209,49.670623,13.399739,SRID=4326;POINT (49.670623 13.399739),CZ
5100,Štěnovický Borek,33209,49.649772,13.426875,SRID=4326;POINT (49.649772 13.426875),CZ
